,so_ky_hieu,ngay_ban_hanh,trich_yeu,hieu_luc,pdf
1168,2613/QĐ-UBND,08/09/2020,công bố thủ tục hành chính chuẩn hoá thuộc phạm vi chức năng quản lý và giải quyết của thanh tra tỉnh/ubnd cấp huyện/ubnd cấp xã tỉnh bình dương.,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4139/2613-QD.signed.pdf
1169,4363/KH-UBND,07/09/2020,"triển khai thực hiện quyết định số 1068/qđ-ttg ngày 22/08/2019 của thủ tướng chính phủ phê duyệt chiến lược sở hữu trí tuệ đến năm 2030 trên địa bàn tỉnh bình dương, giai đoạn 2021-2025 tầm nhìn đến năm 2030.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4140/4363-KH.signed.pdf
1170,2590/QĐ-UBND,07/09/2020,"quy chế tiếp nhận thông tin sự cố, phản ánh hiện trường bất cập của hạ tầng cáp viễn thông qua hệ thống đường dây nóng 1022 trên địa bàn tỉnh và công tác phối hợp xử lý, khắc phục.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4134/2590-QD.signed.pdf
1171,199/TB-UBND,07/09/2020,kết luận của chủ tịch ủy ban nhân dân tỉnh trần thanh liêm tại phiên họp thường kỳ tháng 8/2020 - ubnd tỉnh khóa ix.,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4133/199-TB.signed.pdf
1172,4319/KH-UBND,04/09/2020,kế hoạch tổ chức đại hội thể dục thể thao các cấp tỉnh bình dương năm 2021 - 2022.,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4129/4319-KH.signed.pdf
1173,2566/QĐ-UBND,04/09/2020,công bố thủ tục hành chính chuẩn hóa thuộc thẩm quyền giải quyết của sở tài chính/ubnd cấp huyện tỉnh bình dương.,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4126/2566-QD.signed.pdf
1174,2554/QĐ-UBND,04/09/2020,thành lập ban chỉ đạo và tổ thường trực giúp việc ban chỉ đạo tổng điều tra kinh tế và điều tra cơ sở hành chính năm 2021 tỉnh bình dương.,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4136/2554-QD.signed.pdf
1175,2543/QĐ-UBND,03/09/2020,công bố thủ tục hành chính chuẩn hóa thuộc thẩm quyền giải quyết của sở xây dựng/ubnd cấp huyện/ ubnd cấp xã tỉnh bình dương.,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4123/2543-QD.signed.pdf
1176,197/TB-UBND,01/09/2020,chương trình làm việc tháng 9/2020 của ubnd tỉnh.,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4131/197TB-UBND.pdf
1177,2505/QĐ-UBND,31/08/2020,"công bố thủ tục hành chính chuẩn hóa thuộc phạm vi chức năng quản lý và giải quyết của sở tư pháp/ thẩm quyền giải quyết của ubnd cấp huyện, ubnd cấp xã tỉnh bình dương.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4127/2505QD-UBND.pdf
1178,2504/QĐ-UBND,31/08/2020,"cho công ty tnhh sản xuất thương mại dịch vụ nguyên tòng chuyển mục đích sử dụng từ đất cơ sở sản xuất phi nông nghiệp sang đất thương mại, dịch vụ tại phường thuận giao, thành phố thuận an.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4132/2504-QD.signed.pdf
1179,4236/UBND-NC,28/08/2020,xây dựng đề án vị trí việc làm trong đơn vị sự nghiệp công lập.,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4118/4236-NC.signed.pdf
1180,4227/UBND-NC,28/08/2020,triển khai dịch vụ công chứng thực bản sao điện tử từ bản chính trên cổng dịch vụ công quốc gia.,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4121/4227-NC_UBNDT_Trienkhai_ChungthucBanSao_2882020.pdf
1181,2487/QĐ-UBND,28/08/2020,bãi bỏ thủ tục hành chính thuộc thẩm quyền giải quyết của sở lao động-thương binh và xã hội trên địa bàn tỉnh bình dương.,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4128/2487-QD.signed.pdf
1182,2470/QĐ-UBND,28/08/2020,"quy trình phối hợp hỗ trợ, can thiệp, xử lý đối với các trường hợp trẻ em bị bạo lực, xâm hại, xâm hại tình dục trên địa bàn tỉnh bình dương.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4130/2470-QD.signed.pdf
1183,13/CT-UBND,28/08/2020,"tăng cường thực hiện bảo hiểm y tế học sinh, sinh viên.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4120/13CT-UBND.pdf
1184,4197/UBND-TH,27/08/2020,"phân công trả lời kiến nghị tại hội nghị đối thoại trực tiếp giữa đồng chí bí thư tỉnh ủy với cấp ủy, chính quyền các cấp.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4109/4197-TH.signed.pdf
1185,4189/UBND-VX,27/08/2020,"thực hiện thông báo số 309/tb-vpcp ngày 24/8/2020 về kết luận của thủ tướng nguyễn xuân phúc tại cuộc họp thường trực chính phủ về công tác phòng, chống dịch covid-19.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4111/4189-VX.signed.pdf
1186,4160/UBND-KT,26/08/2020,"chủ trương cho gia hạn thời gian thuê nhà xưởng của các dự án sản xuất công nghiệp nằm ngoài các khu, cụm công nghiệp công nghiệp trên địa bàn tỉnh bình dương.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4258/4160-KT.%20gia%20ha%CC%A3n%20thue%20xuong%20SX%20Nam%20BD%20den%202025.pdf
1187,4157/UBND-VX,26/08/2020,đẩy mạnh triển khai cài bluezone cho người dân trên địa bàn tỉnh bình dương.,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4114/4157UBND-VX.pdf
1188,4152/KH-UBND,25/08/2020,"tăng cường phòng ngừa, xử lý hoạt động lừa đảo chiếm đoạt tài sản.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4110/4152-KH.signed.pdf
1189,4151/UBND-VX,25/08/2020,triển khai thực hiện quyết định số 1265/qđ-ttg của thủ tướng chính phủ. ,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4112/4151-VX.signed.pdf
1190,2436/QĐ-UBND,25/08/2020,"cho phép công ty cổ phần sản xuất kinh doanh xuất nhập khẩu minh tiến chuyển mục đích sử dụng đất sang đất cơ sở sản xuất phi nông nghiệp tại phường khánh bình, thị xã tân uyên.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4135/2436-QD.signed.pdf
1191,2425/QĐ-UBND,24/08/2020,"cho phép công ty cổ phần bất động sản hiệp thành phước chuyển mục đích sử dụng đất để thực hiện dự án khu nhà ở phú lợi tại phường phú lợi, thành phố thủ dầu một.     ",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4137/2425-QD.signed.pdf
1192,2424/QĐ-UBND,24/08/2020,"cho phép công ty cổ phần đầu tư và phát triển nhà phước điền chuyển mục đích sử dụng đất để thực hiện dự án khu nhà ở phước điền bc tại phường bình chuẩn, thành phố thuận an.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4116/2424QD-UBND.pdf
1193,2423/QĐ-UBND,24/08/2020,điều chỉnh một số nội dung tại quyết định số 3946/qđ-ubnd ngày 30/12/2019 của ủy ban nhân dân tỉnh đối với công ty cổ phần đầu tư thương mại bất động sản đại quang minh.,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4138/2423-QD.signed.pdf
1194,2412/QĐ-UBND,24/08/2020,"công bố thủ tục hành chính được sửa đổi, bổ sung trong lĩnh vực lý lịch tư pháp thuộc thẩm quyền giải quyết của sở tư pháp.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4113/2412QD-UBND.pdf
1195,4098/UBND-TH,21/08/2020,"báo cáo công tác 9 tháng, nhiệm vụ những tháng cuối năm 2020.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4106/4098-TH.signed.pdf
1196,2389/QĐ-UBND,21/08/2020,phê duyệt danh mục nhiệm vụ nghiên cứu khoa học và phát triển công nghệ tỉnh bình dương năm 2020 (đợt 1).,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4255/2389-QD.signed_Danh%20muc%20Dot%201.pdf
1197,4035/KH-UBND,20/08/2020,"thực hiện nghị quyết của quốc hội về tiếp tục hoàn thiện, nâng cao hiệu lực, hiệu quả thực hiện chính sách, pháp luật về phòng cháy và chữa cháy.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4103/4035-KH.signed.pdf
1198,2367/QĐ-UBND,20/08/2020,phê duyệt đề án vị trí việc làm và cơ cấu ngạch công chức của sở thông tin và truyền thông tỉnh bình dương.,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4104/2367-QD.signed.pdf
1199,187/TB-UBND,20/08/2020,"viếng nghĩa trang liệt sĩ, treo quốc kỳ và nghỉ lễ kỷ niệm 75 năm ngày quốc khánh 02/9.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4105/187TB-UBND.pdf
1200,4045/UBND-KT,20/08/2020,"đầy mạnh thực hiện các giải pháp điều hành thực hiện nhiệm vụ tài chính, ngân sách địa phương những tháng cuối năm 2020.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4107/4045UBND-KT.pdf
1201,4035/KH-UBND,20/08/2020,"thực hiện nghị quyết của quốc hội về tiếp tục hoàn thiện, nâng cao hiệu lực, hiệu quả thực hiện chính sách, pháp luật về phòng cháy và chữa cháy.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4103/4035-KH.signed.pdf
1202,2377/QĐ-UBND,20/08/2020,điều chỉnh hình thức sử dụng tại các quyết định số 3060/qđ-ubnd ngày 02/11/2017 và 348/qđ-ubnd ngày 14/2/2019 của tổng công ty đầu tư và phát triển công nghiệp - ctcp.,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4115/2377QD-UBND.pdf
1203,2367/QĐ-UBND,20/08/2020,phê duyệt đề án vị trí việc làm và cơ cấu ngạch công chức của sở thông tin và truyền thông tỉnh bình dương.,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4104/2367-QD.signed.pdf
1204,187/TB-UBND,20/08/2020,"viếng nghĩa trang liệt sĩ, treo quốc kỳ và nghỉ lễ kỷ niệm 75 năm ngày quốc khánh 02/9.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4105/187TB-UBND.pdf
1205,2359/QĐ-UBND,19/08/2020,"cho phép công ty cổ phần lâm sản và xuất nhập khẩu tổng hợp bình dương chuyển mục đích sử dụng đất, đăng ký biến động đất đai với hình thức nhà nước giao đất có thu tiền sử dụng đất để thực hiện dự án khu nhà ở thương mại dịch vụ phú mỹ (đợt 2).",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4117/2359qd-UBND.pdf
1206,2347/QĐ-UBND,18/08/2020,công bố thủ tục hành chính chuẩn hóa lĩnh vực công tác d6an tộc thuộc thẩm quyền tiếp nhận của ubnd cấp xã tỉnh bình dương.,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4108/2347QD-UBND.pdf
1207,2346/QĐ-UBND,18/08/2020,công bố thủ tục hành chính chuẩn hóa thuộc thẩm quyền giải quyết của sở khoa học và công nghệ/quỹ phát triển khoa học và công nghệ tỉnh/đơn vị sự nghiệp công lập có hoạt động khoa học và công nghệ trên địa bàn tỉnh bình dương.,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4101/2346-QD.signed.pdf
1208,2333/QĐ-UBND,18/08/2020,"thu hồi đất của tổng công ty đầu tư và phát triển công nghiệp – ctcp để thực hiện dự án xây dựng trạm dò tìm, tiếp nhận dữ liệu và trung tâm xử lý dữ liệu ảnh vệ tinh tại phường thới hòa, thị xã bến cát.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4097/2333-QD.signed.pdf
1209,2331/QĐ-UBND,18/08/2020,"giao đất không thu tiền sử dụng đất cho trường trung học cơ sở bình thắng tại phường bình thắng, thành phố dĩ an.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4099/2331-QD.signed.pdf
1210,2329/QĐ-UBND,18/08/2020,"cho phép công ty cổ phần miền đông gia hạn thời hạn thuê đất với hình thức nhà nước cho thuê đất thu tiền hàng năm tại xã tân mỹ, huyện bắc tân uyên.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4098/2329-QD.signed.pdf
1211,12/CT-UBND,17/08/2020,đẩy mạnh triển khai cài đặt ứng dụng bluezone.,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4089/12_CT_UBNDT_Caidat_Bluezone_1782020.pdf
1212,3986/KH-UBND,17/08/2020,"tổ chức thực hiện quyết định số 987/qđ-ttg, ngày 09/7/2020 của thủ tướng chính phủ, kế hoạch số 140-kh/tu ngày 07/7/2020 của tỉnh ủy về triển khai thực hiện chỉ thị số 42-ct/tw ngày 24/3/2020 của ban bí thư trung ương đảng về tăng cường sự lãnh đạo của đảng đối với công tác phòng ngừa, ứng phó, khắc phục hậu quả thiên tai.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4122/3986KH-UBND.pdf
1213,3974/KH-UBND,17/08/2020,"triển khai thực hiện nghị quyết 30/nq-cp ngày 12/3/2020 của chính phủ về ban hành chương trình hành động thực hiện nghị quyết số 39-nq/tw ngày 15/01/2019 của bộ chính trị về nâng cao hiệu quả quản lý, khai thác, sử dụng và phát huy các nguồn lực của nền kinh tế.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4102/3974-KH.signed.pdf
1214,2322/QĐ-UBND,17/08/2020,"thu hồi đất do ubnd xã lạc an quản lý để thực hiện dự án xây dựng công trình phục vụ sinh hoạt cộng đồng xã lạc an (bồi thường, hỗ trợ) tại huyện bắc tân uyên.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4092/2322-QD.signed.pdf
1215,2321/QĐ-UBND,17/08/2020,"cho phép thay đổi tên người sử dụng đất sang tổng công ty bưu điện việt nam và gia hạn thời hạn sử dụng đất đối với khu đất tại phường tương bình hiệp, thành phố thủ dầu một.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4096/2321-QD.signed.pdf
1216,2319/QĐ-UBND,17/08/2020,"cho phép công ty tnhh liên doanh khẳng ký gia hạn tiến độ sử dụng đất tại phường thuận giao, thành phố thuận an.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4095/2319-QD.signed.pdf
1217,2318/QĐ-UBND,17/08/2020,"cho phép công ty tnhh một thành viên thương mại dịch vụ tân sanh gia hạn thời hạn sử dụng đất; đồng thời chuyển mục đích sử dụng đất sang đất thương mại, dịch vụ với hình thức nhà nước cho thuê đất thu tiền thuê đất hàng năm tại phường bình chuẩn, thành phố thuận an.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4094/2318-QD.signed.pdf
1218,2317/QĐ-UBND,17/08/2020,"cho phép công ty tnhh phú mỹ hiệp chuyển mục đích sử dụng đất để thực hiện dự án khu nhà ở bàu bàng 2 (new land) tại xã trừ văn thố, huyện bàu bàng.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4093/2317-QD.signed.pdf
1219,12/CT-UBND,17/08/2020,đẩy mạnh triển khai cài đặt ứng dụng bluezone.,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4089/12_CT_UBNDT_Caidat_Bluezone_1782020.pdf
1220,3953/KH-UBND,14/08/2020,hỗ trợ doanh nghiệp nhỏ và vừa năm 2021 trên địa bàn tỉnh bình dương.,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4100/3953-KH.signed.pdf
1221,2287/QĐ-UBND,13/08/2020,"cho phép công ty tnhh hữu tường gia hạn tiến độ sử dụng đất  tại xã bình mỹ, huyện bắc tân uyên.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4090/2287-QD.signed.pdf
1222,183/TB-UBND,13/08/2020,"treo cờ rủ và ngừng các hoạt động vui chơi, giải trí.",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4087/183-TB.signed.pdf
1223,2241/QĐ-UBND,11/08/2020,công bố thủ tục hành chính chuẩn hóa thuộc thẩm quyền giải quyết của sở thông tin và truyền thông/uỷ ban nhân dân cấp huyện tỉnh bình dương.,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4088/2241-QD.signed.pdf
1224,2181/QĐ-UBND,05/08/2020,giao chỉ tiêu kế hoạch điều chỉnh đầu tư công năm 2020.,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4085/2181-QD.signed.pdf
1225,2180/QĐ-UBND,05/08/2020,giao chỉ tiêu kế hoạch điều chỉnh đầu tư công trung hạn 2016 – 2020 (lần 3).,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/4086/2180-QD.signed.pdf
